PLOT,Accession,LOC,Year,REP,Block,Design,Trial,Settweight,NPH,Vigor,AUDPC_YMV,rAUDPC_YMV,AUDPC_YAD,rAUDPC_YAD,Yield per plot (kg),TTNPL,TTWPL,Yield_udj,YIELD,ATW,DMC,Oxint180Minutes,OXBI
1026,TDr1738018,Ibadan,2020,1,1,Partial replicated,TFE,,5,2,300,0.025,150,0.0125,1.24,0.60,0.25,1.13,2.48,0.41,,,
1027,TDr1738059,Ibadan,2020,1,1,Partial replicated,TFE,,3,2,240,0.02,120,0.01,0.19,1.00,0.06,0.27,0.63,0.06,18.78,0,-0.23
1028,TDr1738074,Ibadan,2020,1,1,Partial replicated,TFE,,2,2,255,0.02125,195,0.01625,0.37,1.00,0.19,0.37,1.85,0.19,23.46,0,-0.10
1029,TDr1738037,Ibadan,2020,1,1,Partial replicated,TFE,,1,2,225,0.01875,210,0.0175,0.88,1.00,0.88,1.47,8.80,0.88,,,
1030,TDr1738030,Ibadan,2020,1,1,Partial replicated,TFE,,4,3,285,0.02375,120,0.01,1.47,1.00,0.37,1.23,3.68,0.37,23.30,2,0.00
1031,TDr1738065,Ibadan,2020,1,1,Partial replicated,TFE,,6,2,210,0.0175,165,0.01375,0.66,1.00,0.11,0.60,1.10,0.11,22.57,0,0.05
1032,TDr1738088,Ibadan,2020,1,1,Partial replicated,TFE,,6,2,285,0.02375,195,0.01625,0.56,0.83,0.09,0.62,0.93,0.11,26.92,1,-0.02
1033,TDr1738031,Ibadan,2020,1,1,Partial replicated,TFE,,2,2,255,0.02125,165,0.01375,0.92,1.00,0.46,2.30,4.60,0.46,17.73,2,-0.07
1034,TDr1738048,Ibadan,2020,1,1,Partial replicated,TFE,,5,2,300,0.025,210,0.0175,0.98,1.00,0.20,0.82,1.96,0.20,25.71,1,-0.01
1035,TDr1738066,Ibadan,2020,1,1,Partial replicated,TFE,,3,2,270,0.0225,150,0.0125,0.28,1.00,0.09,0.35,0.93,0.09,25.35,1,-0.08
